TIME,2026-06-09T14:46:47,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
0.000000e+00,6.649081e-09,1.667598e-09
5.161290e-01,6.673705e-09,1.422237e-09
1.032258e+00,6.615599e-09,1.270149e-09
1.548387e+00,6.540386e-09,1.133852e-09
2.064516e+00,6.470620e-09,1.020661e-09
2.580645e+00,6.358423e-09,8.302019e-10
3.096774e+00,6.260739e-09,6.426867e-10
3.612903e+00,6.148326e-09,4.068777e-10
4.129032e+00,5.996753e-09,1.215991e-10
4.645161e+00,5.737106e-09,-1.879948e-10
5.161290e+00,5.269186e-09,-4.665934e-10
5.677419e+00,4.461805e-09,-6.439074e-10
6.193548e+00,3.227381e-09,-7.279692e-10
6.709677e+00,1.825973e-09,-7.706450e-10
7.225806e+00,7.066521e-10,-7.961591e-10
7.741935e+00,8.988356e-11,-8.014638e-10
8.258065e+00,-1.550883e-10,-8.063438e-10
8.774194e+00,-2.350842e-10,-8.206291e-10
9.290323e+00,-2.681473e-10,-8.194733e-10
9.806452e+00,-2.849050e-10,-8.313982e-10
1.032258e+01,-3.010644e-10,-8.425725e-10
1.083871e+01,-3.144887e-10,-8.434846e-10
1.135484e+01,-3.173555e-10,-8.394876e-10
1.187097e+01,-3.238138e-10,-8.531468e-10
1.238710e+01,-3.289778e-10,-8.538148e-10
1.290323e+01,-3.380873e-10,-8.619742e-10
1.341935e+01,-3.372031e-10,-8.725828e-10
1.393548e+01,-3.360619e-10,-8.784941e-10
1.445161e+01,-3.410172e-10,-8.795997e-10
1.496774e+01,-3.383309e-10,-8.855809e-10
1.548387e+01,-3.551653e-10,-8.968093e-10
1.600000e+01,-3.736279e-10,-8.873624e-10
