TIME,2026-06-14T20:40:18,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),-2.0000,10.0000
NUM SWEEP STEPS,50,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,
,,
Voltage (V),Meter current (A),Source current (A)
-1.487179e+00,4.986626e-08,1.938378e-08
-9.743590e-01,5.034378e-08,1.913759e-08
-4.615385e-01,4.968860e-08,1.877294e-08
5.128205e-02,5.016721e-08,1.782529e-08
5.641026e-01,5.000685e-08,1.620340e-08
1.076923e+00,5.111069e-08,1.504352e-08
1.589744e+00,5.138415e-08,1.472078e-08
2.102564e+00,5.127467e-08,1.399087e-08
2.615385e+00,5.056257e-08,1.376602e-08
3.128205e+00,5.049218e-08,1.329576e-08
3.641026e+00,5.045837e-08,1.271940e-08
4.153846e+00,5.004006e-08,1.217645e-08
4.666667e+00,5.045306e-08,1.123340e-08
5.179487e+00,5.019942e-08,1.038097e-08
5.692308e+00,5.051423e-08,9.174445e-09
6.205128e+00,5.112804e-08,7.575114e-09
6.717949e+00,5.104408e-08,5.687243e-09
7.230769e+00,4.925086e-08,3.602606e-09
7.743590e+00,5.010580e-08,1.537551e-09
8.256410e+00,4.614989e-08,-1.523749e-11
8.769231e+00,4.140892e-08,-8.273573e-10
9.282051e+00,3.343003e-08,-1.186357e-09
9.794872e+00,2.361293e-08,-1.361005e-09
1.030769e+01,1.328416e-08,-1.470507e-09
1.082051e+01,5.186162e-09,-1.539140e-09
1.133333e+01,1.083257e-09,-1.585038e-09
1.184615e+01,1.001252e-10,-1.610735e-09
1.235897e+01,-1.194202e-10,-1.630044e-09
1.287179e+01,-2.772018e-10,-1.646098e-09
1.338462e+01,-4.156913e-10,-1.662086e-09
1.389744e+01,-5.189342e-10,-1.697696e-09
1.441026e+01,-6.089132e-10,-1.727021e-09
1.492308e+01,-6.962368e-10,-1.724211e-09
1.543590e+01,-7.476739e-10,-1.794445e-09
1.594872e+01,-8.146960e-10,-1.770887e-09
1.646154e+01,-8.571084e-10,-1.777079e-09
1.697436e+01,-8.926894e-10,-1.798126e-09
1.748718e+01,-9.315114e-10,-1.809131e-09
1.800000e+01,-9.408152e-10,-1.824010e-09
nan,nan,nan
