,,
SOURCE,BIGGIE,
METER,TUPAC,
SWEEP VOLTAGE RANGE (V),0.0000,16.0000
NUM SWEEP STEPS,32,
NUM POWER LINE CYCLES,1.0000,
VRANGE,20.0000,
IRANGE,0.0000,

Voltage (V),Meter current (A),Source current (A)
0.000000e+00,4.341992e-09,1.062096e-09
5.161290e-01,4.350746e-09,8.929753e-10
1.032258e+00,4.346688e-09,7.958253e-10
1.548387e+00,4.294366e-09,6.847788e-10
2.064516e+00,4.222890e-09,5.942138e-10
2.580645e+00,4.148327e-09,4.711452e-10
3.096774e+00,4.080400e-09,3.444562e-10
3.612903e+00,3.988808e-09,1.672600e-10
4.129032e+00,3.854195e-09,-2.424912e-11
4.645161e+00,3.615104e-09,-2.139321e-10
5.161290e+00,3.208849e-09,-3.607039e-10
5.677419e+00,2.566269e-09,-4.646338e-10
6.193548e+00,1.778085e-09,-5.168878e-10
6.709677e+00,9.834291e-10,-5.228191e-10
7.225806e+00,3.813153e-10,-5.468993e-10
7.741935e+00,4.133514e-11,-5.548417e-10
8.258065e+00,-9.616399e-11,-5.735551e-10
8.774194e+00,-1.302568e-10,-5.721207e-10
9.290323e+00,-1.428111e-10,-5.901515e-10
9.806452e+00,-1.513569e-10,-5.946695e-10
1.032258e+01,-1.653934e-10,-5.919332e-10
1.083871e+01,-1.747675e-10,-5.951705e-10
1.135484e+01,-1.841484e-10,-6.061210e-10
1.187097e+01,-1.852547e-10,-6.102560e-10
1.238710e+01,-1.915668e-10,-6.233229e-10
1.290323e+01,-1.849070e-10,-6.073598e-10
1.341935e+01,-1.837239e-10,-6.313705e-10
1.393548e+01,-1.832088e-10,-6.343429e-10
1.445161e+01,-1.807593e-10,-6.413117e-10
1.496774e+01,-1.833133e-10,-6.463168e-10
1.548387e+01,-1.921583e-10,-6.272698e-10
1.600000e+01,-1.947332e-10,-6.493243e-10
